Ref,Val,Package,PosX,PosY,Rot,Side
"1","0R","R_0603_1608Metric",152.145994,-83.566000,90.000000,top
"3","0R","R_0603_1608Metric",152.146000,-86.741000,-90.000000,top
"4","0R","R_0603_1608Metric",152.146000,-89.916000,-90.000000,top
"5","0R","R_0603_1608Metric",152.146000,-93.091000,-90.000000,top
"6","0R","R_0603_1608Metric",152.146000,-96.266000,-90.000000,top
"7","0R","R_0603_1608Metric",152.146000,-99.441000,-90.000000,top
"8","0R","R_0603_1608Metric",152.146000,-102.743000,-90.000000,top
"I1","47K","R_0603_1608Metric",138.938000,-82.804000,0.000000,top
"I2","22K","R_0603_1608Metric",138.938000,-77.978000,180.000000,top
"J1","RJ45","RJ45_OST_PJ012-8P8CX_Vertical",111.242500,-95.750000,0.000000,top
"J2","RJ45","RJ45_OST_PJ012-8P8CX_Vertical",120.024500,-85.438600,180.000000,top
"J3","RJ45","RJ45_OST_PJ012-8P8CX_Vertical",128.514500,-95.750000,0.000000,top
"XA1","B2P-VH(LF)(SN)","Hirose_DF63M-2P-3.96DSA_1x02_P3.96mm_Vertical",129.820600,-82.779400,0.000000,top
"XA2","B2P-VH(LF)(SN)","Hirose_DF63M-2P-3.96DSA_1x02_P3.96mm_Vertical",143.967200,-82.754000,0.000000,top
